ProximityToWaterBody,Elevation,Rainfall,Vegetation,Urbanization,Soil,Drainage,Slope,StormFrequency,Wetlands,Deforestation,Season,Infrastructure,Encroachment,FloodRisk
Close to Lagoon,48,448,Dense,Medium,Rocky,Moderate,Steep,Occasional,Absent,None,Transition,Strong,Severe,Low
Far from Lagoon,297,561,Dense,High,Clay,Good,Moderate,Frequent,Present,Moderate,Rainy,Moderate,Moderate,Low
Far from River,259,355,None,High,Rocky,Good,Flat,Frequent,Present,Moderate,Dry,Weak,Severe,Medium
Close to Lake,198,151,Moderate,Low,Loamy,Poor,Steep,Occasional,Present,None,Dry,Weak,Moderate,Low
Far from Stream,61,728,Moderate,Medium,Loamy,Good,Moderate,Rare,Present,Moderate,Transition,Weak,Severe,Low
Far from Lagoon,21,140,Sparse,Medium,Sandy,Good,Steep,Frequent,Absent,None,Transition,Moderate,Severe,Low
Far from Dam,138,673,Dense,Low,Loamy,Moderate,Flat,Occasional,Absent,Severe,Dry,Strong,None,Low
Very Far from River,262,548,Dense,Medium,Sandy,Good,Moderate,Rare,Absent,Severe,Dry,Moderate,None,Low
Close to Dam,107,531,Sparse,High,Sandy,Poor,Steep,Rare,Present,None,Transition,Moderate,Severe,Medium
Moderately Close to Dam,3,597,Moderate,High,Clay,Good,Flat,Rare,Absent,None,Dry,Strong,Moderate,Low
Very Close to Lagoon,204,767,Dense,Medium,Sandy,Poor,Moderate,Frequent,Absent,None,Dry,Weak,Moderate,Medium
Moderately Close to Dam,233,243,Sparse,Low,Loamy,Moderate,Moderate,Rare,Present,Severe,Transition,Strong,None,Low
Far from Lake,221,544,Moderate,Medium,Rocky,Good,Flat,Rare,Present,Severe,Dry,Strong,None,Low
Very Close to Lagoon,11,401,None,Low,Loamy,Poor,Steep,Rare,Absent,None,Rainy,Strong,None,Medium
Close to Lake,158,729,Moderate,High,Sandy,Moderate,Moderate,Rare,Present,Moderate,Rainy,Weak,Moderate,Medium
Very Far from Lagoon,148,587,Moderate,Low,Sandy,Moderate,Flat,Rare,Present,None,Rainy,Weak,Moderate,Low
Far from Lagoon,291,239,Sparse,Medium,Loamy,Good,Flat,Occasional,Present,Severe,Dry,Weak,None,Low
Close to Dam,66,134,Moderate,Low,Loamy,Good,Flat,Occasional,Absent,None,Dry,Weak,Moderate,Low
Close to Dam,71,608,None,Low,Clay,Good,Flat,Occasional,Present,Moderate,Rainy,Moderate,Moderate,Medium
Moderately Close to Dam,75,16,None,Medium,Loamy,Good,Flat,Rare,Absent,Moderate,Transition,Moderate,Severe,Medium
Moderately Close to Stream,259,416,None,Medium,Sandy,Moderate,Moderate,Frequent,Present,Severe,Dry,Strong,Moderate,Medium
Very Close to Stream,133,84,None,Medium,Clay,Moderate,Steep,Rare,Absent,None,Transition,Strong,Severe,Low
Very Close to River,224,449,None,Low,Rocky,Good,Flat,Rare,Present,None,Dry,Moderate,Moderate,Low
Very Far from Dam,249,700,Dense,Low,Sandy,Good,Steep,Frequent,Absent,None,Dry,Weak,None,None
Moderately Close to River,49,578,Sparse,Medium,Loamy,Poor,Moderate,Occasional,Present,Severe,Transition,Moderate,Severe,Medium
Close to Lake,139,856,None,Low,Loamy,Poor,Moderate,Occasional,Absent,None,Rainy,Moderate,Moderate,Medium
Very Close to Dam,209,196,Moderate,Medium,Sandy,Moderate,Steep,Frequent,Present,None,Transition,Weak,Moderate,Low
Very Far from Lake,71,674,None,Low,Clay,Good,Steep,Frequent,Present,None,Transition,Moderate,Moderate,Low
Far from Dam,191,160,None,High,Sandy,Moderate,Steep,Frequent,Absent,Moderate,Dry,Strong,Severe,Low
Very Close to Stream,221,678,Dense,Low,Rocky,Good,Moderate,Occasional,Absent,Moderate,Rainy,Strong,Severe,Low
Moderately Close to Lagoon,217,925,None,Low,Sandy,Good,Flat,Occasional,Absent,None,Rainy,Moderate,Severe,Medium
Very Far from Stream,107,699,Dense,High,Clay,Poor,Moderate,Rare,Present,None,Transition,Moderate,Severe,Low
Very Close to River,6,459,None,High,Clay,Good,Moderate,Frequent,Present,Severe,Transition,Strong,None,Medium
Close to Lagoon,277,149,Moderate,Low,Sandy,Good,Flat,Occasional,Present,Severe,Dry,Weak,Severe,Low
Moderately Close to Lagoon,2,906,Sparse,Medium,Sandy,Poor,Flat,Rare,Absent,None,Dry,Weak,None,Medium
Moderately Close to Stream,69,421,Dense,High,Loamy,Poor,Moderate,Rare,Present,Severe,Transition,Moderate,Severe,Medium
Very Far from Lake,106,644,Sparse,High,Loamy,Moderate,Flat,Frequent,Present,Severe,Transition,Weak,None,Medium
Close to River,66,518,Sparse,Low,Clay,Good,Moderate,Frequent,Present,Moderate,Dry,Moderate,Moderate,Low
Far from Stream,90,354,Sparse,Low,Rocky,Poor,Flat,Frequent,Present,Severe,Rainy,Moderate,None,Medium
Close to Stream,270,973,Dense,Low,Clay,Poor,Steep,Occasional,Present,Severe,Transition,Weak,Severe,Low
Very Far from Lagoon,69,238,Sparse,Low,Rocky,Poor,Moderate,Occasional,Absent,Moderate,Dry,Weak,Severe,Medium
Very Close to Lake,94,488,Moderate,High,Rocky,Good,Moderate,Occasional,Absent,None,Transition,Strong,Moderate,Low
Far from River,42,713,Moderate,Low,Sandy,Moderate,Flat,Occasional,Absent,Moderate,Rainy,Weak,Severe,Medium
Moderately Close to Dam,105,264,None,Low,Rocky,Moderate,Moderate,Frequent,Absent,None,Dry,Moderate,None,Low
Very Far from Lake,153,16,Dense,High,Sandy,Moderate,Flat,Occasional,Absent,Moderate,Transition,Moderate,Moderate,Low
Far from River,38,374,Dense,Low,Rocky,Poor,Flat,Frequent,Present,Moderate,Transition,Strong,Moderate,Low
Moderately Close to Lagoon,164,914,None,High,Rocky,Moderate,Steep,Rare,Present,Severe,Rainy,Moderate,Moderate,Medium
Far from Lake,225,472,Moderate,High,Loamy,Moderate,Flat,Rare,Absent,None,Rainy,Moderate,None,Low
Far from Dam,188,636,None,Low,Clay,Good,Flat,Rare,Present,Severe,Rainy,Strong,None,Low
Very Close to River,56,119,Sparse,Low,Rocky,Moderate,Steep,Occasional,Present,Moderate,Rainy,Weak,None,Low
Moderately Close to Dam,68,716,Sparse,Low,Loamy,Moderate,Steep,Rare,Present,Moderate,Dry,Strong,None,Low
Far from Lake,40,290,Sparse,High,Clay,Good,Moderate,Rare,Absent,None,Rainy,Weak,Moderate,Medium
Moderately Close to Dam,103,35,None,Low,Loamy,Good,Moderate,Occasional,Absent,Severe,Dry,Moderate,Moderate,Low
Moderately Close to River,145,292,Dense,Medium,Loamy,Moderate,Steep,Occasional,Absent,None,Rainy,Moderate,None,Low
Moderately Close to Dam,129,692,Sparse,Low,Rocky,Moderate,Flat,Rare,Absent,None,Transition,Weak,Severe,Medium
Far from Lake,76,941,Dense,High,Loamy,Moderate,Flat,Occasional,Absent,Moderate,Dry,Moderate,Severe,Medium
Far from Lagoon,149,827,None,High,Sandy,Poor,Flat,Rare,Absent,None,Dry,Strong,Moderate,Medium
Very Far from Lake,229,870,Sparse,Medium,Rocky,Moderate,Steep,Occasional,Absent,Moderate,Dry,Moderate,Severe,Low
Moderately Close to Lagoon,52,140,Dense,Medium,Loamy,Good,Flat,Frequent,Present,Severe,Dry,Weak,Severe,Medium
Close to Dam,297,486,Dense,Medium,Rocky,Moderate,Steep,Occasional,Absent,None,Transition,Strong,Moderate,Low
Very Close to Lagoon,265,428,None,High,Sandy,Good,Moderate,Occasional,Present,Moderate,Transition,Moderate,Severe,Medium
Far from Lake,39,215,None,High,Sandy,Moderate,Steep,Occasional,Present,Moderate,Dry,Strong,None,Low
Moderately Close to Stream,271,306,Moderate,Low,Rocky,Good,Flat,Occasional,Present,Moderate,Rainy,Weak,Severe,Low
Very Far from Dam,229,316,None,High,Loamy,Good,Steep,Rare,Absent,Moderate,Dry,Strong,Severe,Low
Close to Lagoon,235,709,Sparse,Low,Sandy,Good,Steep,Frequent,Absent,Moderate,Dry,Strong,None,Low
Moderately Close to River,82,730,Moderate,Medium,Clay,Good,Moderate,Rare,Absent,Moderate,Rainy,Strong,Severe,Medium
Far from River,231,312,Moderate,Low,Loamy,Moderate,Steep,Frequent,Present,Severe,Dry,Strong,Moderate,Low
Very Close to River,121,680,Dense,Low,Loamy,Good,Flat,Rare,Present,Severe,Dry,Strong,Severe,Low
Very Far from Stream,210,302,Moderate,Low,Clay,Moderate,Flat,Frequent,Absent,Severe,Dry,Strong,Moderate,Low
Close to Stream,228,230,Moderate,High,Loamy,Moderate,Flat,Occasional,Absent,Moderate,Transition,Strong,Moderate,Low
Close to River,285,902,None,High,Rocky,Poor,Steep,Frequent,Present,Moderate,Dry,Weak,None,Medium
Close to River,132,165,Sparse,Low,Loamy,Moderate,Flat,Occasional,Absent,Severe,Dry,Moderate,Severe,Medium
Far from Stream,239,530,Moderate,High,Sandy,Good,Flat,Occasional,Present,None,Transition,Moderate,Moderate,Low
Moderately Close to River,94,883,Dense,High,Loamy,Moderate,Steep,Occasional,Present,Moderate,Transition,Weak,None,Medium
